hotel_name,location,hotel_price,rating,rating_score,review,link
Palette River Front formerly Host Inn,Ahmedabad,28221,Review score,5.7,174 reviews,https://www.booking.com/hotel/in/oyo-901-host-inn.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1263812401_400324762_0_2_0&highlighted_blocks=1263812401_400324762_0_2_0&matching_block_id=1263812401_400324762_0_2_0&sr_pri_blocks=1263812401_400324762_0_2_0__2822126&from=searchresults
Hotel The 19,"Saraspur, Ahmedabad",17850,Good,7.0,1 review,https://www.booking.com/hotel/in/the-19.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1364050401_408677014_2_0_0&highlighted_blocks=1364050401_408677014_2_0_0&matching_block_id=1364050401_408677014_2_0_0&sr_pri_blocks=1364050401_408677014_2_0_0__1785000&from=searchresults
Hotel phoniex,"Ellis Bridge, Ahmedabad",14268,Good,7.0,28 reviews,https://www.booking.com/hotel/in/phoniex.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1337911601_406242258_2_0_0&highlighted_blocks=1337911601_406242258_2_0_0&matching_block_id=1337911601_406242258_2_0_0&sr_pri_blocks=1337911601_406242258_2_0_0__1426810&from=searchresults
Hyatt Ahmedabad,"Vastrapur, Ahmedabad",90400,Very good,8.4,856 reviews,https://www.booking.com/hotel/in/hyatt-ahmedabad.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=45525611_269949480_2_42_0&highlighted_blocks=45525611_269949480_2_42_0&matching_block_id=45525611_269949480_2_42_0&sr_pri_blocks=45525611_269949480_2_42_0__9040000&from=searchresults
Ginger Ahmedabad Vastrapur,Ahmedabad,38786,Review score,5.5,281 reviews,https://www.booking.com/hotel/in/ginger-ahmedabad.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=27987901_403958667_0_42_0_378703&highlighted_blocks=27987901_403958667_0_42_0_378703&matching_block_id=27987901_403958667_0_42_0_378703&sr_pri_blocks=27987901_403958667_0_42_0_378703_3878600&from=searchresults
Regenta Central Antarim Ahmedabad,"Navarangpura, Ahmedabad",51480,Good,7.5,509 reviews,https://www.booking.com/hotel/in/antarim.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=214908508_404137440_2_42_0_828137&highlighted_blocks=214908508_404137440_2_42_0_828137&matching_block_id=214908508_404137440_2_42_0_828137&sr_pri_blocks=214908508_404137440_2_42_0_828137_5148000&from=searchresults
Plenteous Inn,"Ellis Bridge, Ahmedabad",58444,Fabulous,8.9,355 reviews,https://www.booking.com/hotel/in/plenteousinn.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1222712503_394450531_2_42_0&highlighted_blocks=1222712503_394450531_2_42_0&matching_block_id=1222712503_394450531_2_42_0&sr_pri_blocks=1222712503_394450531_2_42_0__5844400&from=searchresults
Taj Skyline Ahmedabad,"Thaltej, Ahmedabad",108500,Fabulous,8.6,"1,163 reviews",https://www.booking.com/hotel/in/taj-skyline-ahmedabad.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=687766903_406422747_2_41_0&highlighted_blocks=687766903_406422747_2_41_0&matching_block_id=687766903_406422747_2_41_0&sr_pri_blocks=687766903_406422747_2_41_0__10850000&from=searchresults
hotel bhavya,"Maninagar, Ahmedabad",13940,Review score,6.0,1 review,https://www.booking.com/hotel/in/bhavya-ahmedabad4.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1329273701_405486754_2_0_0&highlighted_blocks=1329273701_405486754_2_0_0&matching_block_id=1329273701_405486754_2_0_0&sr_pri_blocks=1329273701_405486754_2_0_0__1394000&from=searchresults
Hotel Nest Sky,"Naranpura, Ahmedabad",18186,Fabulous,8.7,3 reviews,https://www.booking.com/hotel/in/nest-sky.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1351177601_407452089_2_0_0&highlighted_blocks=1351177601_407452089_2_0_0&matching_block_id=1351177601_407452089_2_0_0&sr_pri_blocks=1351177601_407452089_2_0_0__1818600&from=searchresults
