hotel_name,location,hotel_price,rating,rating_score,review,link
"Cottage style 2bhk Raja House, Bandra","Bandra, Mumbai",95200,None,None,None,https://www.booking.com/hotel/in/cottage-style-2bhk-raja-house-bandra.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1406173701_412402911_4_0_0&highlighted_blocks=1406173701_412402911_4_0_0&matching_block_id=1406173701_412402911_4_0_0&sr_pri_blocks=1406173701_412402911_4_0_0__9520000&from=searchresults
"Pam Inn Hotel Andheri East, Mumbai",Mumbai,40163,None,None,None,https://www.booking.com/hotel/in/pam-inn-andheri-east-mumbai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1406374501_412426331_2_1_0&highlighted_blocks=1406374501_412426331_2_1_0&matching_block_id=1406374501_412426331_2_1_0&sr_pri_blocks=1406374501_412426331_2_1_0__4016250&from=searchresults
Spacious 1BHK Off Carter Road,Mumbai,56644,None,None,None,https://www.booking.com/hotel/in/spacious-1bhk-off-carter-road.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1406597401_412441331_2_0_0&highlighted_blocks=1406597401_412441331_2_0_0&matching_block_id=1406597401_412441331_2_0_0&sr_pri_blocks=1406597401_412441331_2_0_0__5664400&from=searchresults
Sun Rise Residency,Mumbai,41650,None,None,None,https://www.booking.com/hotel/in/sun-rise-residency.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1406450701_412430598_38_0_0&highlighted_blocks=1406450701_412430598_38_0_0&matching_block_id=1406450701_412430598_38_0_0&sr_pri_blocks=1406450701_412430598_38_0_0__4165000&from=searchresults
Hotel O Shree Prabhat,Mumbai,54435,None,None,None,https://www.booking.com/hotel/in/o-shree-prabhat.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1405608002_412359682_2_0_0&highlighted_blocks=1405608002_412359682_2_0_0&matching_block_id=1405608002_412359682_2_0_0&sr_pri_blocks=1405608002_412359682_2_0_0__5443471&from=searchresults
Collection O Navi Mumbai Formerly IVY Hotel,Mumbai,26946,None,None,None,https://www.booking.com/hotel/in/collection-o-navi-mumbai-formerly-ivy.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1405811902_412375604_2_0_0&highlighted_blocks=1405811902_412375604_2_0_0&matching_block_id=1405811902_412375604_2_0_0&sr_pri_blocks=1405811902_412375604_2_0_0__2694642&from=searchresults
MALAK-6 villa,Mumbai,114240,None,None,None,https://www.booking.com/hotel/in/malak-6-villa.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1406840501_412458536_16_0_0&highlighted_blocks=1406840501_412458536_16_0_0&matching_block_id=1406840501_412458536_16_0_0&sr_pri_blocks=1406840501_412458536_16_0_0__11424000&from=searchresults
Hotel airport retreat,"Western Suburbs, Mumbai",29750,None,None,None,https://www.booking.com/hotel/in/airport-retreat-mumbai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1373449501_409511833_2_2_0&highlighted_blocks=1373449501_409511833_2_2_0&matching_block_id=1373449501_409511833_2_2_0&sr_pri_blocks=1373449501_409511833_2_2_0__2975000&from=searchresults
Hotel Cruz Royale,"Santacruz, Mumbai",33737,Review score,5.0,2 reviews,https://www.booking.com/hotel/in/cruz-royale-mumbai1.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1366265701_408907827_2_2_0&highlighted_blocks=1366265701_408907827_2_2_0&matching_block_id=1366265701_408907827_2_2_0&sr_pri_blocks=1366265701_408907827_2_2_0__3373650&from=searchresults
Apex Hotel,"Western Suburbs, Mumbai",18417,Review score,3.3,199 reviews,https://www.booking.com/hotel/in/apex-mumbai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=60e32880cc2a0e75&srepoch=1746078339&all_sr_blocks=1004632002_373224638_2_2_0&highlighted_blocks=1004632002_373224638_2_2_0&matching_block_id=1004632002_373224638_2_2_0&sr_pri_blocks=1004632002_373224638_2_2_0__1841730&from=searchresults
