hotel_name,location,hotel_price,rating,rating_score,review,link
Hotel Nova Palm,Rajkot,20986,Review score,6.8,210 reviews,https://www.booking.com/hotel/in/nova-palm.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=1020230410_374421549_2_42_0&highlighted_blocks=1020230410_374421549_2_42_0&matching_block_id=1020230410_374421549_2_42_0&sr_pri_blocks=1020230410_374421549_2_42_0__2098600&from=searchresults
Hotel O Park Inn,Rajkot,16066,Review score,5.5,6 reviews,https://www.booking.com/hotel/in/oyo-1362-park-inn.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=551624303_209960099_2_2_0&highlighted_blocks=551624303_209960099_2_2_0&matching_block_id=551624303_209960099_2_2_0&sr_pri_blocks=551624303_209960099_2_2_0__1606584&from=searchresults
Hotel Velvet,Rajkot,13359,Review score,2.3,59 reviews,https://www.booking.com/hotel/in/oyo-2798-velvet.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=744808002_375714357_2_0_0&highlighted_blocks=744808002_375714357_2_0_0&matching_block_id=744808002_375714357_2_0_0&sr_pri_blocks=744808002_375714357_2_0_0__1335925&from=searchresults
Hotel Atithi - Oposite Shreeji Hospital,Rajkot,16452,Review score,3.3,4 reviews,https://www.booking.com/hotel/in/atithi-rajkot.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=1053660615_403515295_0_0_0&highlighted_blocks=1053660615_403515295_0_0_0&matching_block_id=1053660615_403515295_0_0_0&sr_pri_blocks=1053660615_403515295_0_0_0__1645224&from=searchresults
Hotel Nova Boutique,Rajkot,26180,Review score,6.3,152 reviews,https://www.booking.com/hotel/in/nova-boutique.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=592917805_287867068_2_42_0&highlighted_blocks=592917805_287867068_2_42_0&matching_block_id=592917805_287867068_2_42_0&sr_pri_blocks=592917805_287867068_2_42_0__2618000&from=searchresults
FabHotel SK,Rajkot,20717,Review score,6.6,25 reviews,https://www.booking.com/hotel/in/sk.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=167692805_410205673_2_0_0_880629&highlighted_blocks=167692805_410205673_2_0_0_880629&matching_block_id=167692805_410205673_2_0_0_880629&sr_pri_blocks=167692805_410205673_2_0_0_880629_2071742&from=searchresults
Nova Hotel New Crossroad,Rajkot,19600,Review score,5.0,105 reviews,https://www.booking.com/hotel/in/new-cross-road.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=408174103_240730516_2_42_0&highlighted_blocks=408174103_240730516_2_42_0&matching_block_id=408174103_240730516_2_42_0&sr_pri_blocks=408174103_240730516_2_42_0__1960000&from=searchresults
Hotel Royal Elite,Rajkot,21000,Good,7.4,69 reviews,https://www.booking.com/hotel/in/royal-elite-rajkot.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=1151631001_387961287_2_42_0&highlighted_blocks=1151631001_387961287_2_42_0&matching_block_id=1151631001_387961287_2_42_0&sr_pri_blocks=1151631001_387961287_2_42_0__2100000&from=searchresults
Hotel O Royal Season,Rajkot,16309,None,None,None,https://www.booking.com/hotel/in/o-royal-season.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=1319122102_404793682_2_0_0&highlighted_blocks=1319122102_404793682_2_0_0&matching_block_id=1319122102_404793682_2_0_0&sr_pri_blocks=1319122102_404793682_2_0_0__1630904&from=searchresults
Nova Hotel Star Palace,Rajkot,15400,Review score,3.0,74 reviews,https://www.booking.com/hotel/in/nova-star-palace.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=222715904_198636031_2_42_0&highlighted_blocks=222715904_198636031_2_42_0&matching_block_id=222715904_198636031_2_42_0&sr_pri_blocks=222715904_198636031_2_42_0__1540000&from=searchresults
Comfort Inn Legacy,Rajkot,36188,Review score,5.7,100 reviews,https://www.booking.com/hotel/in/comfort-inn-legacy.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=37928102_276354533_0_42_0&highlighted_blocks=37928102_276354533_0_42_0&matching_block_id=37928102_276354533_0_42_0&sr_pri_blocks=37928102_276354533_0_42_0__3618824&from=searchresults
Hotel Raviraj Palace,Rajkot,20218,None,None,None,https://www.booking.com/hotel/in/raviraj-palace-rajkot1.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=1248344501_397190121_2_2_0&highlighted_blocks=1248344501_397190121_2_2_0&matching_block_id=1248344501_397190121_2_2_0&sr_pri_blocks=1248344501_397190121_2_2_0__2021810&from=searchresults
Nirali Resorts,Rajkot,97986,Review score,6.8,62 reviews,https://www.booking.com/hotel/in/niraliresorts.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=271826703_275646585_2_41_0&highlighted_blocks=271826703_275646585_2_41_0&matching_block_id=271826703_275646585_2_41_0&sr_pri_blocks=271826703_275646585_2_41_0__9798600&from=searchresults
The Sky Imperial Aarivaa Luxury Stays,Rajkot,47880,Review score,5.3,210 reviews,https://www.booking.com/hotel/in/nova-aarivaa.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=169415702_387465004_2_2_0&highlighted_blocks=169415702_387465004_2_2_0&matching_block_id=169415702_387465004_2_2_0&sr_pri_blocks=169415702_387465004_2_2_0__4788000&from=searchresults
Hotel Nova Venus,Rajkot,18900,None,None,None,https://www.booking.com/hotel/in/nova-venus.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=1378533101_409976511_2_0_0&highlighted_blocks=1378533101_409976511_2_0_0&matching_block_id=1378533101_409976511_2_0_0&sr_pri_blocks=1378533101_409976511_2_0_0__1890000&from=searchresults
